Front,Back,Tags
la brisa,breeze,noun weather
el amanecer,dawn,noun time
"la sobremesa","the conversation after a meal, once the plates are cleared",noun culture
el estrenar,"to wear or use something for the very first time",verb
"¿Qué tal?","How's it going?
(informal greeting)",phrase greeting
la madrugada,"the small hours — roughly 1am to dawn",noun time
"el ""no sé qué""","the ""certain something"" you can't name",noun idiom
tener ganas de,to feel like doing something,verb phrase
el desvelo,sleeplessness; staying up worrying,noun
"apagar,",to switch off (note the stray comma in this row's front),verb
